Number collaborations;artist_id;artist_name;feat_artist_id;feat_artist_name
19;mn0000006334;Tony Bennett;mn0000106994;Count Basie & His Orchestra
49;mn0000006334;Tony Bennett;mn0000126880;Count Basie Big Band
28;mn0000006334;Tony Bennett;mn0000127044;Count Basie
27;mn0000006334;Tony Bennett;mn0000246523;Judy Garland
71;mn0000006334;Tony Bennett;mn0000255903;Percy Faith & His Orchestra
33;mn0000006334;Tony Bennett;mn0000344275;Mel Tormé
45;mn0000006334;Tony Bennett;mn0000357057;Ruby Braff
47;mn0000006334;Tony Bennett;mn0000421940;The Simpsons
44;mn0000006334;Tony Bennett;mn0000622805;Stevie Wonder
54;mn0000006334;Tony Bennett;mn0000763670;Bill Charlap
120;mn0000006334;Tony Bennett;mn0000764702;Bill Evans
40;mn0000006334;Tony Bennett;mn0000852997;k.d. lang
17;mn0000006334;Tony Bennett;mn0000864450;The Ralph Sharon Trio
37;mn0000006855;Pablo Milanés;mn0000172360;Víctor Manuel
84;mn0000006855;Pablo Milanés;mn0000248795;Sara González
10;mn0000006855;Pablo Milanés;mn0000531248;Christiano Malgioglio
36;mn0000006855;Pablo Milanés;mn0000801477;Cesar Isella
25;mn0000006855;Pablo Milanés;mn0000942252;Compay Segundo
65;mn0000006855;Pablo Milanés;mn0000942501;Caco Senante
7;mn0000006855;Pablo Milanés;mn0001063796;Luís Represas
132;mn0000006855;Pablo Milanés;mn0001533552;Haydée Milanés
7;mn0000007920;Alice In Chains;mn0000203008;Rush
13;mn0000007920;Alice In Chains;mn0000812802;Death in Vegas
6;mn0000008828;Spice Girls;mn0000156938;Shaggy
23;mn0000008828;Spice Girls;mn0000170214;Ferrante & Teicher
3;mn0000008828;Spice Girls;mn0000208076;Luther Vandross
4;mn0000008828;Spice Girls;mn0000579458;Luciano Pavarotti
4;mn0000008828;Spice Girls;mn0000892827;The Notorious B.I.G.
23;mn0000010538;Spandau Ballet;mn0000038579;Soft Cell
30;mn0000010538;Spandau Ballet;mn0000217622;Japan
8;mn0000010538;Spandau Ballet;mn0000741718;P.M. Dawn
12;mn0000010538;Spandau Ballet;mn0000787969;Basto
10;mn0000010904;Patricia Manterola;mn0000652016;DJ Bobo
5;mn0000010904;Patricia Manterola;mn0000957713;Marcelo Cezan
15;mn0000013508;Travis;mn0000131961;Citizen King
10;mn0000013508;Travis;mn0000380158;Noel Gallagher
16;mn0000013508;Travis;mn0000400110;Rodrigo y Gabriela
9;mn0000013508;Travis;mn0000580723;Anne Dudley
3;mn0000013508;Travis;mn0000766557;Baha Men
17;mn0000013508;Travis;mn0000915574;A Fine Frenzy
5;mn0000016281;Tracy Chapman;mn0000030928;Tevin Campbell
12;mn0000016281;Tracy Chapman;mn0000059156;B.B. King
13;mn0000016281;Tracy Chapman;mn0000376204;Mary J. Blige
10;mn0000016281;Tracy Chapman;mn0000579458;Luciano Pavarotti
14;mn0000016281;Tracy Chapman;mn0000842802;Peter Gabriel
7;mn0000016281;Tracy Chapman;mn0000942529;Buddy Guy
12;mn0000017857;Amaral;mn0000244106;Chetes
7;mn0000017857;Amaral;mn0000491137;Los Piratas
47;mn0000017857;Amaral;mn0000619398;Aleks Syntek
8;mn0000017857;Amaral;mn0002418776;La Ida
11;mn0000017877;Terence Trent D'Arby;mn0000031823;Smoke City
3;mn0000017877;Terence Trent D'Arby;mn0000161773;Dizzee Rascal
13;mn0000017877;Terence Trent D'Arby;mn0000206668;Des'ree
16;mn0000017877;Terence Trent D'Arby;mn0000287911;Sananda Maitreya
8;mn0000017877;Terence Trent D'Arby;mn0000574119;Sugar Ray
7;mn0000017877;Terence Trent D'Arby;mn0000772733;Booker T. & the MG's
2;mn0000017877;Terence Trent D'Arby;mn0000772976;Booker T. Jones
16;mn0000017877;Terence Trent D'Arby;mn0000897205;Miki Howard
2;mn0000017877;Terence Trent D'Arby;mn0002355568;Skinny
13;mn0000019892;Tears For Fears;mn0000104767;Chosen Few
11;mn0000019892;Tears For Fears;mn0000191070;Wang Chung
19;mn0000019892;Tears For Fears;mn0000661795;DMX
32;mn0000019892;Tears For Fears;mn0000757473;Sybersound
26;mn0000019892;Tears For Fears;mn0000887806;Oleta Adams
55;mn0000021009;Slash;mn0000021047;Slash's Snakepit
11;mn0000021009;Slash;mn0000079959;Insane Clown Posse
4;mn0000021009;Slash;mn0000096964;Boz Scaggs
5;mn0000021009;Slash;mn0000332141;Jerry Lee Lewis
10;mn0000021009;Slash;mn0000467203;Michael Jackson
13;mn0000021009;Slash;mn0000519954;Brian Tyler
1;mn0000021009;Slash;mn0000588508;Ace Frehley
4;mn0000021009;Slash;mn0000678911;Myles Kennedy
3;mn0000021009;Slash;mn0000775406;Chris Cornell
8;mn0000021009;Slash;mn0001581283;Band of Gypsys
1;mn0000021009;Slash;mn0002555403;Phineas
38;mn0000021009;Slash;mn0002908858;Myles Kennedy and the Conspirators
20;mn0000025597;Andrés Calamaro;mn0000146053;Claudio Gabis
27;mn0000025597;Andrés Calamaro;mn0000238313;Los Auténticos Decadentes
44;mn0000025597;Andrés Calamaro;mn0000808937;David Hidalgo
40;mn0000025597;Andrés Calamaro;mn0001623748;Virgilio Exposito
39;mn0000025597;Andrés Calamaro;mn0001922391;Langui
23;mn0000025597;Andrés Calamaro;mn0002144432;Gabriel Carámbula
31;mn0000025597;Andrés Calamaro;mn0002297544;Juanse
218;mn0000025597;Andrés Calamaro;mn0002307224;Fito & Fitipaldis
14;mn0000025597;Andrés Calamaro;mn0002317351;Diego Maradona
67;mn0000025597;Andrés Calamaro;mn0003185899;Bunbury
34;mn0000025597;Andrés Calamaro;mn0003185900;Calamaro
33;mn0000026061;Ana Belén;mn0000095613;Chico Buarque
19;mn0000026061;Ana Belén;mn0000111184;Jairo
36;mn0000026061;Ana Belén;mn0000143559;Joaquín Sabina
5;mn0000026061;Ana Belén;mn0000167220;Djavan
56;mn0000026061;Ana Belén;mn0000252172;Lucio Dalla
5;mn0000026061;Ana Belén;mn0000388727;Raimundo Fagner
28;mn0000026061;Ana Belén;mn0000740186;Cecilia
19;mn0000026061;Ana Belén;mn0001903477;Pancho Céspedes
72;mn0000026061;Ana Belén;mn0002951172;Victor Manuel
10;mn0000026520;Stereolab;mn0000087217;The High Llamas
18;mn0000026520;Stereolab;mn0000273075;Peter Thomas Sound Orchestra
66;mn0000026520;Stereolab;mn0000394288;Nurse with Wound
14;mn0000026520;Stereolab;mn0000678408;Herbie Mann
20;mn0000026520;Stereolab;mn0000936658;Brigitte Fontaine
14;mn0000027136;Paulina Rubio;mn0000074994;Baby Rasta
3;mn0000027136;Paulina Rubio;mn0000284207;Ronan Keating
25;mn0000027136;Paulina Rubio;mn0000288830;Rocío Jurado
25;mn0000027136;Paulina Rubio;mn0000468632;Ricardo Montaner
7;mn0000027136;Paulina Rubio;mn0000651205;DCS
1;mn0000027136;Paulina Rubio;mn0000806336;Los Tigres del Norte
23;mn0000027136;Paulina Rubio;mn0000832472;Juan Magán
8;mn0000027136;Paulina Rubio;mn0002526823;Taboo
19;mn0000029791;Paul Weller;mn0000033879;Souad Massi
77;mn0000029791;Paul Weller;mn0000084053;The Jam
85;mn0000029791;Paul Weller;mn0000205180;Dr. John
15;mn0000029791;Paul Weller;mn0000307006;Gem Archer
35;mn0000029791;Paul Weller;mn0000447290;Noel
51;mn0000029791;Paul Weller;mn0000742386;All Star Band
23;mn0000029791;Paul Weller;mn0000758998;Aziz Ibrahim
18;mn0000029791;Paul Weller;mn0000780955;Aqualung
12;mn0000029791;Paul Weller;mn0000796472;Eliza Carthy
114;mn0000029791;Paul Weller;mn0000918600;The Style Council
31;mn0000029791;Paul Weller;mn0001379252;Inda Goldfinger
55;mn0000029791;Paul Weller;mn0001990305;Paul John Weller
221;mn0000029884;Paul McCartney;mn0000022402;Paul McCartney & Wings
25;mn0000029884;Paul McCartney;mn0000256525;Percy Thrillington
109;mn0000029884;Paul McCartney;mn0000763585;Julianne Baird
29;mn0000029884;Paul McCartney;mn0000816890;Johnny Cash
27;mn0000029884;Paul McCartney;mn0000820686;Denny Laine
66;mn0000029884;Paul McCartney;mn0000834757;Linda McCartney
167;mn0000029884;Paul McCartney;mn0000956707;Wings
37;mn0000029884;Paul McCartney;mn0003375887;Allan Kingdom
8;mn0000031274;Alan Parsons;mn0000136124;The Crystal Method
33;mn0000031274;Alan Parsons;mn0000988042;Gary Green
7;mn0000031274;Alan Parsons;mn0000995873;Jay Shepheard
191;mn0000031274;Alan Parsons;mn0001176481;The Alan Parsons Project
1;mn0000031360;Sidonie;mn0000108323;Coti
14;mn0000031360;Sidonie;mn0001437800;Love of Lesbian
7;mn0000031442;Anastacia;mn0000186185;Céline Dion
6;mn0000031442;Anastacia;mn0000217761;Umberto Tozzi
23;mn0000031442;Anastacia;mn0000796734;Elton John
12;mn0000031442;Anastacia;mn0000858827;Queen
6;mn0000031442;Anastacia;mn0001352721;Anastácia
9;mn0000031442;Anastacia;mn0001477634;Maruça
26;mn0000031685;Paul Simon;mn0000031263;Andraé Crouch
40;mn0000031685;Paul Simon;mn0000105618;Ladysmith Black Mambazo
18;mn0000031685;Paul Simon;mn0000159791;Toots Thielemans
29;mn0000031685;Paul Simon;mn0000179191;Edie Brickell
48;mn0000031685;Paul Simon;mn0000295276;Jimmy Cliff
4;mn0000031685;Paul Simon;mn0000496097;Miriam Makeba
15;mn0000031685;Paul Simon;mn0000504815;Art Garfunkel
22;mn0000031685;Paul Simon;mn0000511476;Spanish Harlem Orchestra
30;mn0000031685;Paul Simon;mn0000567847;The Twisters
10;mn0000031685;Paul Simon;mn0000583161;Wyclef Jean
59;mn0000031685;Paul Simon;mn0000673486;Marc Anthony
14;mn0000031685;Paul Simon;mn0000792953;Carl Perkins
5;mn0000031685;Paul Simon;mn0000870402;Ray Delapaz
27;mn0000031685;Paul Simon;mn0000952044;Dan Aykroyd
6;mn0000031685;Paul Simon;mn0002291793;Trinidad Cement Limited Skiffle Band
9;mn0000032433;Texas;mn0000308645;Pulp
7;mn0000032433;Texas;mn0000326245;Rae & Christian
12;mn0000032433;Texas;mn0000355885;Kardinal Offishall
24;mn0000032433;Texas;mn0000451483;Method Man
6;mn0000032433;Texas;mn0000821636;Jools Holland & His Rhythm & Blues Orchestra
4;mn0000032438;Andrea Corr;mn0000007230;Brian May
3;mn0000032438;Andrea Corr;mn0000075591;The Corrs
3;mn0000032438;Andrea Corr;mn0000098081;Engelbert Humperdinck
12;mn0000037730;Pearl Jam;mn0000147315;Cypress Hill
17;mn0000037730;Pearl Jam;mn0000334132;Jim Carroll
126;mn0000037730;Pearl Jam;mn0000379125;Neil Young
35;mn0000037794;Silvio Rodríguez;mn0000006855;Pablo Milanés
13;mn0000037794;Silvio Rodríguez;mn0000021209;Síntesis
15;mn0000037794;Silvio Rodríguez;mn0000264365;Jose María Vitier
205;mn0000037794;Silvio Rodríguez;mn0000313356;Luis Eduardo Aute
5;mn0000037794;Silvio Rodríguez;mn0000531455;Isabel Parra
20;mn0000037794;Silvio Rodríguez;mn0000801477;Cesar Isella
25;mn0000037794;Silvio Rodríguez;mn0000927471;Afrocuba
6;mn0000037794;Silvio Rodríguez;mn0000942252;Compay Segundo
5;mn0000037794;Silvio Rodríguez;mn0002294275;Los Sabandeños
9;mn0000038321;Snow Patrol;mn0000012972;TV on the Radio
10;mn0000038321;Snow Patrol;mn0000027916;Terry Callier
14;mn0000038321;Snow Patrol;mn0000367231;Martha Wainwright
16;mn0000038321;Snow Patrol;mn0000494430;The Reindeer Section
13;mn0000038321;Snow Patrol;mn0000662578;Gary Lightbody
18;mn0000038321;Snow Patrol;mn0000769920;King Biscuit Time
17;mn0000038469;Beastie Boys;mn0000167104;Frankie Bones
18;mn0000038469;Beastie Boys;mn0000376613;Q-Tip
75;mn0000038469;Beastie Boys;mn0000402328;Miho Hatori
18;mn0000038469;Beastie Boys;mn0000564631;The Sugarhill Gang
188;mn0000038469;Beastie Boys;mn0000581466;Mix Master Mike
20;mn0000038469;Beastie Boys;mn0001877566;Cochise
22;mn0000038469;Beastie Boys;mn0002310192;Lucy Wagner
31;mn0000038936;Simon & Garfunkel;mn0000046699;The Everly Brothers
10;mn0000038936;Simon & Garfunkel;mn0000523221;Tom & Jerry
16;mn0000038936;Simon & Garfunkel;mn0000582253;Aaron Neville
14;mn0000038936;Simon & Garfunkel;mn0001921394;Milchberg
64;mn0000041874;The Beach Boys;mn0000148108;James House
15;mn0000041874;The Beach Boys;mn0000170518;Frankie Valli & the Four Seasons
125;mn0000041874;The Beach Boys;mn0000213165;Jan & Dean
40;mn0000041874;The Beach Boys;mn0000218835;Mariachi Sol de Mexico
136;mn0000041874;The Beach Boys;mn0000350127;Royal Philharmonic Orchestra
64;mn0000041874;The Beach Boys;mn0000364572;Kathy Troccoli
71;mn0000041874;The Beach Boys;mn0000492902;Mike Love
42;mn0000041874;The Beach Boys;mn0000537548;Busta Rhymes
141;mn0000041874;The Beach Boys;mn0000583959;Willie Nelson
44;mn0000041874;The Beach Boys;mn0000604504;Mr. Doctor
50;mn0000041874;The Beach Boys;mn0000743621;Southern Pacific
68;mn0000041874;The Beach Boys;mn0000791046;Tails I Lose
69;mn0000041874;The Beach Boys;mn0000815575;Lena Horne
66;mn0000041874;The Beach Boys;mn0000834466;Roger McGuinn
28;mn0000043714;Bee Gees;mn0000005953;Alice Cooper
244;mn0000043714;Bee Gees;mn0000031697;Andy Gibb
16;mn0000043714;Bee Gees;mn0000043241;Susanna Hoffs
19;mn0000043714;Bee Gees;mn0000268299;Jose Y Durval
25;mn0000043714;Bee Gees;mn0000290299;Samantha Sang
25;mn0000043714;Bee Gees;mn0000320845;Peter Frampton
24;mn0000043714;Bee Gees;mn0000659118;Barry Gibb
60;mn0000043714;Bee Gees;mn0000835671;Robin Gibb
4;mn0000043714;Bee Gees;mn0001505871;DJ Magic Marc
67;mn0000043714;Bee Gees;mn0001617605;Trevor Gordon
1;mn0000044252;Dolores O'Riordan;mn0000230667;Zucchero
7;mn0000044252;Dolores O'Riordan;mn0000314673;Negramaro
4;mn0000044252;Dolores O'Riordan;mn0000579458;Luciano Pavarotti
1;mn0000044252;Dolores O'Riordan;mn0000784814;The Cranberries
16;mn0000044764;Blondie;mn0000087179;The Knack
24;mn0000044764;Blondie;mn0000204746;Drew's Famous
73;mn0000044764;Blondie;mn0000234844;Debbie Harry
31;mn0000044764;Blondie;mn0000519571;End of Fashion
22;mn0000044764;Blondie;mn0000599615;African Youth Band
15;mn0000044764;Blondie;mn0000611104;Atomic Kitten
16;mn0000044764;Blondie;mn0000950441;Go West
21;mn0000044764;Blondie;mn0001862849;Beth Ditto
6;mn0000044874;Syd Barrett;mn0000080118;Kevin Ayers
12;mn0000044874;Syd Barrett;mn0000254556;Roger Waters
55;mn0000046861;Ray Charles;mn0000040225;Gladys Knight
33;mn0000046861;Ray Charles;mn0000048908;Betty Carter
50;mn0000046861;Ray Charles;mn0000079948;Commanders
87;mn0000046861;Ray Charles;mn0000115241;Joe Harris
32;mn0000046861;Ray Charles;mn0000120273;Cleo Laine
55;mn0000046861;Ray Charles;mn0000472989;Maxin Trio
45;mn0000046861;Ray Charles;mn0000489845;Milt Jackson
36;mn0000046861;Ray Charles;mn0000527846;"David ""Fathead"" Newman"
48;mn0000046861;Ray Charles;mn0000631592;Bruce Daigrepont
45;mn0000046861;Ray Charles;mn0000768321;INXS
194;mn0000046861;Ray Charles;mn0001543580;Ray Charles Orchestra
51;mn0000046861;Ray Charles;mn0001663367;Edmonton Symphony Orchestra
16;mn0000047421;The Blues Brothers;mn0000046861;Ray Charles
3;mn0000047421;The Blues Brothers;mn0000058261;The Blues Busters
10;mn0000047421;The Blues Brothers;mn0000066683;Blues Brothers Band
13;mn0000047421;The Blues Brothers;mn0000085021;Billy Boy Arnold
10;mn0000047421;The Blues Brothers;mn0000128099;James Brown
8;mn0000047421;The Blues Brothers;mn0000532957;Cab Calloway
9;mn0000047421;The Blues Brothers;mn0000751160;Paul Shaffer
1;mn0000047421;The Blues Brothers;mn0000815795;Jeff Baxter
9;mn0000047421;The Blues Brothers;mn0000927555;Aretha Franklin
4;mn0000049062;Simple Plan;mn0000111729;Chuck Comeau
9;mn0000049062;Simple Plan;mn0000120323;Duke Ellington
15;mn0000049062;Simple Plan;mn0000280023;Mark Hoppus
4;mn0000049062;Simple Plan;mn0000558954;Natasha Bedingfield
18;mn0000049062;Simple Plan;mn0000630909;K'NAAN
4;mn0000049062;Simple Plan;mn0000723116;Alex Gaskarth
7;mn0000049062;Simple Plan;mn0000829723;Rivers Cuomo
32;mn0000049374;Simple Minds;mn0000213110;"John ""00"" Fleming"
11;mn0000049374;Simple Minds;mn0000273022;Jerry Dammers
20;mn0000049374;Simple Minds;mn0000458423;Michael Sembello
29;mn0000049374;Simple Minds;mn0000492040;Acid Test
18;mn0000049374;Simple Minds;mn0000669463;DJ Taylor
18;mn0000049374;Simple Minds;mn0000858827;Queen
25;mn0000049374;Simple Minds;mn0001664656;Charlie Burchill
30;mn0000051909;Carpenters;mn0000120428;Barry De Vorzon
240;mn0000051909;Carpenters;mn0000350127;Royal Philharmonic Orchestra
8;mn0000051909;Carpenters;mn0000350821;Richard Carpenter
26;mn0000051909;Carpenters;mn0000591936;Billboard Top 10 Karaoke: 1970's
36;mn0000051909;Carpenters;mn0000792507;Frank Sinatra
34;mn0000051909;Carpenters;mn0000853631;Karen Carpenter
5;mn0000052062;Chayanne;mn0000087771;Ilan Chester
12;mn0000052062;Chayanne;mn0000136509;Danna Paola
23;mn0000052062;Chayanne;mn0000241842;Sandro
62;mn0000052062;Chayanne;mn0000488743;Playbacks
13;mn0000052062;Chayanne;mn0000496097;Miriam Makeba
19;mn0000052062;Chayanne;mn0000922054;Anna Oxa
19;mn0000053116;David DeMaria;mn0000127967;Antonio Orozco
10;mn0000053116;David DeMaria;mn0000515395;Pastora Soler
15;mn0000053116;David DeMaria;mn0000586140;Abigail
10;mn0000053116;David DeMaria;mn0000721413;Mojinos Escozios
6;mn0000053116;David DeMaria;mn0000775966;Chenoa
19;mn0000053116;David DeMaria;mn0001940549;Esmeralda Grao
19;mn0000053116;David DeMaria;mn0002058136;Vanesa Martín
4;mn0000053116;David DeMaria;mn0003549493;Marián Valderrama
50;mn0000058549;Elvis Costello;mn0000209922;Richard Harvey
230;mn0000058549;Elvis Costello;mn0000230261;Elvis Costello & the Imposters
53;mn0000058549;Elvis Costello;mn0000402990;Metropole Orkest
141;mn0000058549;Elvis Costello;mn0000522373;The Brodsky Quartet
10;mn0000058549;Elvis Costello;mn0000642542;Burt Bacharach
288;mn0000058549;Elvis Costello;mn0000798113;Elvis Costello & the Attractions
66;mn0000058549;Elvis Costello;mn0000923818;Anne Sofie von Otter
28;mn0000058549;Elvis Costello;mn0000933172;Allen Toussaint
63;mn0000058549;Elvis Costello;mn0002567975;Larkin Poe
31;mn0000059293;The Mamas & the Papas;mn0000197215;Cass Elliot
43;mn0000059293;The Mamas & the Papas;mn0000787011;Barry McGuire
45;mn0000059293;The Mamas & the Papas;mn0000888823;Michelle Phillips
28;mn0000059293;The Mamas & the Papas;mn0000923173;The Wrecking Crew
69;mn0000059293;The Mamas & the Papas;mn0001195359;Mama Cass
29;mn0000062823;Bad Religion;mn0000097325;Biohazard
8;mn0000062823;Bad Religion;mn0000644041;Campino
561;mn0000066915;Bob Dylan;mn0000038490;The Band
73;mn0000066915;Bob Dylan;mn0000064817;Big Walter Horton
49;mn0000066915;Bob Dylan;mn0000153519;Earl Scruggs
9;mn0000066915;Bob Dylan;mn0000577531;Woody Guthrie
45;mn0000066915;Bob Dylan;mn0000662016;Gil Turner
73;mn0000066915;Bob Dylan;mn0000890182;Michel Montecrossa
74;mn0000066915;Bob Dylan;mn0000899040;The Skeletons
8;mn0000066915;Bob Dylan;mn0000988440;Grateful Dead
19;mn0000067631;The Chemical Brothers;mn0000065590;The Flaming Lips
20;mn0000067631;The Chemical Brothers;mn0000133719;Fatboy Slim
40;mn0000067631;The Chemical Brothers;mn0000162675;Fatlip
3;mn0000067631;The Chemical Brothers;mn0000279593;Spank Rock
18;mn0000067631;The Chemical Brothers;mn0000334193;New Order
27;mn0000067631;The Chemical Brothers;mn0000376613;Q-Tip
16;mn0000067631;The Chemical Brothers;mn0000598593;Tim Burgess
20;mn0000067631;The Chemical Brothers;mn0000660135;Grandmaster Caz
19;mn0000067631;The Chemical Brothers;mn0000726385;Kid Sister
26;mn0000067631;The Chemical Brothers;mn0000758208;Beth Orton
22;mn0000067631;The Chemical Brothers;mn0000935163;Tom Rowlands
20;mn0000067631;The Chemical Brothers;mn0000946559;DBX
21;mn0000067631;The Chemical Brothers;mn0001846293;2 Many DJ's
4;mn0000067631;The Chemical Brothers;mn0001950211;Dance Floor
23;mn0000068934;Kenny G;mn0000135273;Earth, Wind & Fire
14;mn0000068934;Kenny G;mn0000188432;David Sanborn
8;mn0000068934;Kenny G;mn0000246885;Johnny Mathis
27;mn0000068934;Kenny G;mn0000316269;Jennifer Holliday
8;mn0000068934;Kenny G;mn0000387720;Michael Bolton
41;mn0000068934;Kenny G;mn0000390927;Rahul Sharma
23;mn0000068934;Kenny G;mn0000518313;Todd Terry
16;mn0000068934;Kenny G;mn0000522430;Camila
40;mn0000068934;Kenny G;mn0000569018;Danny D
24;mn0000068934;Kenny G;mn0000690718;Yolanda Adams
21;mn0000068934;Kenny G;mn0000744969;Alvin & the Chipmunks
27;mn0000068934;Kenny G;mn0000957102;Daryl Hall
16;mn0000068934;Kenny G;mn0000961133;Dave Koz
55;mn0000069153;Joan Baez;mn0000046699;The Everly Brothers
27;mn0000069153;Joan Baez;mn0000047998;Azzurro
614;mn0000069153;Joan Baez;mn0000145035;Claudio Baglioni
6;mn0000069153;Joan Baez;mn0000242210;Len Chandler
49;mn0000069153;Joan Baez;mn0000315368;Jeffrey Shurtleff
19;mn0000069153;Joan Baez;mn0000328288;Jerry Garcia
7;mn0000069153;Joan Baez;mn0000677352;Dar Williams
63;mn0000069153;Joan Baez;mn0000896362;Mimi Fariña
17;mn0000069534;Bon Jovi;mn0000106010;Tico Torres
32;mn0000069534;Bon Jovi;mn0000118791;LeAnn Rimes
36;mn0000069534;Bon Jovi;mn0000224750;Jennifer Nettles
17;mn0000069534;Bon Jovi;mn0000583959;Willie Nelson
38;mn0000069534;Bon Jovi;mn0000630035;Nancy McClean
20;mn0000069534;Bon Jovi;mn0000634185;David Bryan
50;mn0000069534;Bon Jovi;mn0000784073;The Countdown Singers
44;mn0000069534;Bon Jovi;mn0000801971;Bob Geldof
165;mn0000069534;Bon Jovi;mn0000821675;Jon Bon Jovi
13;mn0000069534;Bon Jovi;mn0000852376;Richie Sambora
13;mn0000069534;Bon Jovi;mn0000931869;Alan Silvestri
4;mn0000069986;Kenny Rogers;mn0000074195;Natalie Cole
38;mn0000069986;Kenny Rogers;mn0000083556;Kenny Rogers & the First Edition
135;mn0000069986;Kenny Rogers;mn0000179730;Charlie Rich
63;mn0000069986;Kenny Rogers;mn0000190632;Dottie West
44;mn0000069986;Kenny Rogers;mn0000204746;Drew's Famous
38;mn0000069986;Kenny Rogers;mn0000334740;Ronnie Milsap
40;mn0000069986;Kenny Rogers;mn0000664378;Glen Campbell
57;mn0000069986;Kenny Rogers;mn0001240788;The First Edition
40;mn0000069986;Kenny Rogers;mn0001445274;Joyce Singo
83;mn0000069986;Kenny Rogers;mn0001990288;Die Happy-Singers
92;mn0000069986;Kenny Rogers;mn0003433579;The Happy Singers
32;mn0000070929;The Jacksons;mn0000109333;Jackie Jackson
28;mn0000071209;Leonard Cohen;mn0000063469;Bill Ginn
37;mn0000071209;Leonard Cohen;mn0000787497;Barbara Dickson
12;mn0000071209;Leonard Cohen;mn0000801971;Bob Geldof
28;mn0000071209;Leonard Cohen;mn0000812111;Yoav Goren
12;mn0000071209;Leonard Cohen;mn0001306688;Jeff Fisher
9;mn0000071209;Leonard Cohen;mn0002070668;Viba Femba
106;mn0000071209;Leonard Cohen;mn0002417950;Sharon Robinson
50;mn0000071514;Bob Marley;mn0000029629;The Aggrovators
421;mn0000071514;Bob Marley;mn0000069402;Bob Marley & the Wailers
32;mn0000071514;Bob Marley;mn0000214173;Dillinger
42;mn0000071514;Bob Marley;mn0000328014;Peter Tosh
24;mn0000071514;Bob Marley;mn0000573978;Marcia Griffiths
